 ,"Document Name 
(title_location_year published)",Date Published,Resource Type,Organization,Copyright,"Geographical Area -
NATIONAL","Geographical Area -
PROVINCIAL / STATE","Geographical Area -
REGIONAL",Forest Type,BEC Zone,Practice,Value,Technique,Technique 2,Research Forest,BECZone_Subzone_variant,Tree Species,Wildlife Species,Habitat,Equipment,Forest Products,Tenure,Zonation,Stand Development,Disturbance Type,Notes,Is the document uploaded to Google Drive?
Silviculture Practices for Enhancing Old Forest Stand Structure in Red- and Blue-Listed Plant Communities in the CDFmm: Interim Document,Silv Practices for Enhancing Old Forest Stand Structure - CDF_BC_2010,2010,Guidance document,"BC Ministry of Forests

BC Conservation Data Centre (CDC)",,Canada,British Columbia,,Coastal forests,"CDF
Coastal douglas fir

CWH
Coastal western hemlock","Intervention

Adaptive management",Old growth stand structure ,"Thinning

Commercial thinning

Pre-commercial thinning

Regeneration cut

Pruning

Fertilizing

Patch cutting

Retention system
",,,"CDF_mm

CWH_xm_1,2","Fd
Douglas fir
Pseudotsuga menziesii",,,,,,Wildlife habitat area (WHA),Structure (size class distribution),"Fire

Windthrow",,
Comparing Silviculture Systems in a Coastal Montane Forest: Productivity and Cost of Harvesting Operations,Comparing Silv Systems - Productivity and Cost_Coastal Montane Forest_1996,1996,Case Study (incl. research reports),Forest Engineering Institute of Canada (FERIC),,Canada,Britsh Columbia,Vancouver Island,Coastal montane forests,"CWH 
Coastal western hemlock

MH
Montane hemlock","Harvest

Adaptive management ","Forest health

Economic

Old growth stand structure ","Regenration cut

Patch cutting

Retention system

",,,,"Hw
Western hemlock
Tsuga heterophylla

Ba
Amabilis fir
Abies amabilis

Cw
Western redcedar 
Thuja plicata

Yc
Yellow cedar
Chamaecyparis nootkatensis

Hm
Mountain hemlock
Tsuga mertensiana",,,,,"Tree farm licenses (area based)

Community forest (area based)

",,,Windthrow,,
Maintaining Attributes of Old-Growth Forests in Coastal BC Through Variable Retention,Maintaining Attributes of Old Growth Forests through VR_Coastal BC_2003,2003,Case Study (incl. research reports),BC Coastal Group,,Canada,"Britsh Columbia

Coastal BC",,Coastal forests,"CWH
Coastal western hemlock

CDF
Coastal douglas fir




","Harvest

Intervention

Adaptive management","Old growth stand structure 
Forest health

Ecosystem health

Timber

Economic","Variable retention

Retention system

",,,,"Hw
Western hemlock
Tsuga heterophylla

Hw
Western hemlock
Tsuga heterophylla",,,,,,"OGMA 
Old growth managemetn area

WHA
Wildlife habitat area",Structure,"Dwarf mistletoe

Root rot",,
Alternatives to Clearcutting in BC Coastal Montane Forests,Alternatives to CC_Coastal Montane Forests_1997,1997,Case Study (incl. research reports),Natural Resources Canada,,Canada,British Columbia,Vancouver Island,Montane and subalpine forests,"MS
Montane spruce

MH
Montane hemlock","Harvest

Waste/biomass/fuel management","Old growth stand structure 

Economic

","Patch cutting

Regeneration cut",,,CWH_mm_2,"Hw
Western hemlock
Tsuga heterophylla

Ba
Amabilis fir
Abies amabilis

Cw
Western redcedar 
Thuja plicata

Yc
Yellow cedar
Chamaecyparis nootkatensis

",,,,,,,,Windthrow,,
Two Decades of Variable Retention in British Columbia: A Review of its Implementation and Effectiveness for Biodiversity Conservation,Two Decades of VR - Review of Implementation and Effectiveness for Biodiversity Conservation_BC_2019,2019,Peer-reviewed literature,Vancouver Island University,,Canada,"British Columbia

North Island BC

West Central Island BC

North Coast BC","Vancouver Island

Clayoquot Sound

Campbell River

Skeena - Kispiox",Coastal forests,"CWH
Coastal western hemlock

ICH
Interior cedar hemlock","Harvest

Adaptive management 

Intervention","Timber

Old growth stand structure 

Wildlife","Variable retention

Retention system

Thinning

Monitoring",,,,,Southern red-backed vole,Riparian habitat,,,,,"Growth

Structure","Carabid beetle

Windthrow",,
An Overview of the Effects of Forest Management on Groundwater Hydrology,Overview of Effects of Forest Management on Groundwater Hydrology_BC_2009,2009,Peer-reviewed literature (incl. discussion papers),Forest Research Extension Partnership (FORREX),,Canada,British Columbia,,"Coastal forests

Wet interior forests","MS 
Montane spruce

SBS
Sub-boreal spruce

BWBS
Boreal white and black spruce",Harvest,"Hydrology

Ecosystem health",Varibale retention,,,,,,Riparian habitat,,,,,,,,
Aspen Complex Stand Establishment Decision Aid,Aspen Complex Stand Establishment_Northern BC_2009,2009,Decision Aid,Forest Research Extension Partnership (FORREX),,Canada,"British Columbia

Northern BC",,"Sub-boreal forests

Boreal forests","BWBS
Boreal white and black spruce

SBS
Sub-boreal spruce","Harvest

Site preparation

","Timber

Forest health

Ecosystem health","Planting

Regeneration cut

Thinning

Fertilizing",,,,"At
Trembling aspen
Populus tremuloides

Sw
White spruce
Picea glauca

EP
Paper birch
Betula papyrifera

Act
Black cottonwood
Populus trichocarpa","Snowshoe hare

Ruffed grouse

Black bear",,,,,,Growth,"Tent caterpillar

Large aspen tortrix

Aspen leaf miner

Aspen leaf beetle

Poplar borers",,
Thinning of a Ponderosa Pine/Douglas Fir Forest in South-Central BC: Impacts on Understorey Vegetation,Thinning of a Py and Fd Forest in South-Cenral BC: Impacts on Understorey Vegetation_Interior BC_2009,2009,Peer-reviewed literature,Forest Research Extension Partnership (FORREX),,Canada,"British Columbia

Southern Interior BC",,"Boreal forests

Sub-boreal forests

Dry interiior forests

Montane and subalpine forests

Wet interior forests
","IDF
Interior douglas fir 

","Intervention

Waste/biomass/fuel management",Timber,"Thinning

Pre-commercial thinning

Biomass product",,,IDF_xh_2,"Py
Ponderosa pine
Pinus ponderosa

Fd
Douglas fir
Pseudotsuga menziesii",,,,,,,"Structure

Site productivity",Mountain pine beetle,,
Variable Retention Decision Aid for Biodiversity and Habitat Retention,VR Decision Aid for Biodiversity and Habitat Retention_Coastal BC_2008,2008,Decision Aid,Forest research Extension Partnership (FORREX),,Canada,British Columbia,,All (since this can be applied to any forest in BC),,Harvest,"Forest health

Ecosystem health

Timber","Variable retention

Retention system",,,,,,,,,,,Growth,"Windthrow

Dwarf mistletoe",,
Paper Birch and Fireweed Stand Establishment Decision Aid,EP and Fireweed Stand Establishment Decision Aid_Coastal BC_Interior BC_2006,2006,Decision Aid,Forest research Extension Partnership (FORREX),,Canada,"British Columbia

Coastal BC",,Coastal forests,"CWH
Coastal western hemlock 

IDF 
Interior douglas fir","Harvest

Site preparation

","Cultural 

Ecosystem health","Variable retention

Retention system","Manual brushing

Herbicide",,"CWH_ds_1,2

CWH_ms

CWH_ws

IDF_ww","EP
Paper birch
Betula papyrifera",,,,,,,"Silvics

Competition",,,
Adapting Forest and Range Management to Climate Change in the Skeena Region: Considerations for Practitioners and Government Staff,Adapting Forest and Range Management to CC_Skeena Region_2016,2016,Extension note,BC Ministry of Forests,,Canada,"British Columbia

North Coast BC",Skeena,"Coastal forests

Montane and subalpine forests

Sub-boreal forests

Subalpine forests

Boreal forests","CWH
Coastal western hemlock 

MH
Montane Hemlock

SBS
Sub-boreal spruce

ESSF
Engelmann spruce subalpine fir

SWB
Spruce willow birch

BWBS
Boreal white and black spruce
","Harvest

Adaptive management

Waste/biomass/fuel management","Climate change resilience

Forest health

Ecosystem health

Hydrology

Old growth stand structure","Planting

Fertilizing

Variable retention

",,,,"Yc
Yellow cedar
Chamaecyparis nootkatensis

Pl
Lodgepole pine
Pinus contorta","Moose

Caribou

Sheep

Goats

","Riparian habitat

Wetland habitat",,,,,"Growth

Competition

Silvics

Natural disturbances

","Fire

Drought

Windthrow

Flooding

Mountain pine beetle

Spruce beetle

Mass wasting",,
Can Thinning and Fertilizing Young Lodgepole Pine Mitigate Future Timber Supply Challenges?,Thinning and Fertilizing Young Pl to Mitigate Futuure Timber Supply Challenges_Interior BC_2008,2008,Extension note,BC Ministry of Forests,,Canada,"British Columbia

Central Interior BC",Cariboo,Sub-boreal forests,"SBS
Sub-boreal spruce","Harvest

Intervention",Timber,"Fertilizing

Thinning",,,SBS_mk_1,"Pl
Lodgepole pine
Pinus contorta",,,,,,,"Growth

Competition

Structure

Site productivity",Mountain pine beetle,,
Comparing Clearcutting and Alternatives in a High-Elevation Forest: Early Results from Sicamous Creek,Comparing CC and Alternatives in High Elevation Forest_Sicamous Creek_2002,2002,Extension note,BC Forest Service,,Canada,"British Columbia

Southern Interior BC",Shuswap - Sicamous,Montane and subalpine forests,"ESSF
Engelmann spruce subalpine fir","Harvest

Adaptive management","Timber

Economic

Hydrology

Ecosystem health

Forest health","Variable retention

Planting

",,,ESSF_wc_2,"Bl
Subalpine fir
Abies lasiocarpa

Se
Engelmann spruce
Picea engelmannii",Pine marten,,,,,,"Growth

Site productivity

Structure","Bark beetle

Windthrow",,
Partial Cutting and Helicotper Yarding on Environmentally Sensitive Floodplains in Old Growth Hemlock/Spruce Forests,PC and Helicopter Yarding on ENVR Sensitive Floodplains in Old Growth Hemlock/Spruce Forests_Naden Harbour_1991,1991,Case Study (incl. research reports),"BC Ministry of Forests

Moore Resource Management",,Canada,"British Columbia

North Coast BC",Haida Gwaii ,Coastal forests,"CWH
Coastal western hemlock","Harvest

Site preparation

Waste/biomass/fuel management

Adaptive management","Old growth stand structure

Timber

Hydrology","Variable retention

Planting

Waste management

",,,"CWH_wh_1,2

CWH_vh_1,2","Ss
Sitka spruce
Picea sitchensis

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata","Pink salmon

Chum salmon

Sockeye salmon

Coho salmon

Steelhead trout

Cutthroat trout",Riparian habitat,Heavy lift helicopter,"Pulp

Peeler/plywood",Area-based,,"Site productivity

Structure","Windthrow

Mass wasting

Flooding",,
Silviculture Options in the Central Coast,Silv Options in Central Coast_Central Coast_1999,1999,Guidance document,BC Ministry of Forests,,Canada,"British Columbia

Central Coast BC",,Coastal forests,"CWH
Coastal western hemlock

MH
Montane hemlock","Harvest

Intervention","Timber

Economic

Ecosystem health","Variable retention

Retention system

Patch cutting

Regenration cut

Commercial thinning

Pre-commercial thinning

Thinning",,,"CWH_vh

CWH_vm

CWH_ms

CWH_ds

CWH_ws","Cw
Western redcedar 
Thuja plicata

Hw
Western hemlock
Tsuga heterophylla

Ba
Amabilis fir
Abies amabilis

Fd
Douglas fir
Pseudotsuga menziesii

Ss
Sitka spruce
Picea sitchensis

Yc
Yellow cedar
Chamaecyparis nootkatensis

Hm
Mountain hemlock
Tsuga mertensiana

Bl
Subalpine fir
Abies lasiocarpa

Pl
Lodgepole pine
Pinus contorta

Dr
Red alder
Alnus rubra

Act
Black cottonwood
Populus trichocarpa

EP
Paper birch
Betula papyrifera","Sand lance

Herring

Salmon

Grizzly bear",Riparian habitat,Grapple helicopter,,"Tree farm license (area-based)

Voume based",,"Site productivity

Growth

Structure","Fire

Windthrow

Mass wasting

Flood",,
"Silviculture Treatments for Ecosystem Management in the Sayward (STEMS): Establishgment Report for STEMS 1, Snowden Demonstration Forest",Silv Treatments for Ecosystem Management in Sayward_Sayward_2004,2004,Technical report,BC Ministry of Forests,,Canada,"British Columbia 

North Island BC","Vancouver Island

Campbell River",Coastal forests,"CWH
Coastal western hemlock","Harvest

Waste/biomass/fuel management

Adaptive management","Timber

Economic

Forest health

Ecosystem health

","Commercial thinning

Variable retention

Patch cutting

",,Snowden demonstration forest,CWH_xm,"Fd
Douglas fir
Pseudotsuga menziesii","Elk

Blacktail deer",,,,,,"Growth

Site productivity","Windthrow

Root disease

",,
Adaptive Management Newsletter - Single and Double Loop Learning: Summer 2000,Adaptive Management Newsletter Single and Double Loop Learning_BC_2000,2000,Newsletter,BC Ministry of Forests,,Canada,British Columbia,,Coastal forests,"CWH
Coastal western hemlock","Harvest

Adaptive management

Intervention","Ecosystem health

",Variable retention,,,,,Grizzly bears,,,,,,"Site productivity

Structure

Competition",,,
Adaptive Management of Forests in British Columbia,Adaptive Management of Forests in BC_BC_1997,1997,"Research report (but not a case study)

Guidance document",BC Ministry of Forests,,Canada,British Columbia,,All (since this can be applied to any forest in BC),,Adaptive management,"Ecosystem health

Economic",Monitoring,,,,,,,,,,,,,,
Timber-focused Evaluation of Partial Cutting in BC Under the Forest and Range Evaluation Program,Timber Focused Evaluation of PC_BC_2007,2007,Case Study (project summary),BC Ministry of Forests,,Canada,"British Columbia

South Interior BC (south-eastern)",,"Wet interior forests

Montane and subalpine forests","ICH
Interior Cedar Hemlock 

ESSF
Engelmann spruce subalpine fir ","Harvest

Reforestation

Site preparation","Timber

Ecosystem health

Economic","Variable retention

Retention system

Planting

Brushing

Regeneration cut

Removal cut

Monitoring",,,,"Pl
Lodgepole pine
Pinus contorta

Fd
Douglas fir
Pseudotsuga menziesii

Lw
Western larch
Larix occidentalis

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata

Pw
Western white pine
Pinus monticola

",,,,Low-value timber,,,"Site productivity

Structure

Growth","Mountain pine beetle

Windthrow

Root disease",,
Variable Retention Yield Adjustments in TIPSY,VR Yield Adjustments in TIPSY_BC_2007,2007,Case Study (project summary),,,,,,,,,,,,,,,,,,,,,,,,
Wildfires and Watershed Effects in the Southern BC Interior,Wildfires and Watershed Effects_Southern Interior BC_2003,2003,Case Study (project summary),Forest research Extension Partnership (FORREX),,"
Canada

USA","British Columbia

Southern Interior BC

North Island BC

Oregon","Campbell River

Kootenays - Salmo","Coastal forests

Boreal forests

Sub-boreal forests

Dry interiior forests

Montane and subalpine forests

Wet interior forests","CWH
Coastal western hemlock

IDF
Interior douglas fir","Waste/biomass/fuel management

Restoration

Harvest","Wildfire risk

Hydrology

Ecosystem health","Prescribed fire

Thinning

Pruning

Planting


Waste management",,,,"Fd
Douglas fir
Pseudotsuga menziesii

Act
Black cottonwood
Populus trichocarpa",Steelhead trout,Riparian habitat,,,,,,"Fire

Flood",,
Managing Forests and Fire in Changing Climates,Managing Forests and Fire in Changing Climates_BC_2013,2013,Peer-reviewed literature,"Univeristy of California, Berkeley",,Canada,British Columbia,,All (since this can be applied to any forest in BC),"IDF
Interior douglas fir","Waste/biomass/fuel management

Restoration","Climate change resilience

Wildfire risk","Fuel management

Restoration",,,,"Pl
Lodgepole pine
Pinus contorta

Fd
Douglas fir
Pseudotsuga menziesii",,,,,,,,Fire,,
"Interaction of Fire, Fuels, and Climate Across Rocky Mountain Forests",Interaction of Fire - Fuels - and Climate Across Rocky Mountain Forests_Northern BC_2004,2004,Case Study,"University of Colorado Boulder

",,USA,,Rocky Mountains,Montane and subalpine forests,"ESSF
Engelmann spruce subalpine fir ","Waste/biomass/fuel management

Restoration

Harvest","Climate change resilience

Wildfire risk

Forest health","Thinning 

Restoration

Salvage

Fuel management

Variable retention

Waste management",,,,"Py
Ponderosa pine
Pinus ponderosa

Fd
Douglas fir
Pseudotsuga menziesii

Se
Engelmann spruce
Picea engelmannii

Bl
Subalpine fir
Abies lasiocarpa

Pl
Lodgepole pine
Pinus contorta",,,,,,,"Structure

Natural disturbances","Fire

Drought",,
Dry Forests in the Southern Interior of British Columbia: Historic Disturbances and Implications for Restoration and Management,Dry Forests - Historic Disturbances and Implications for Restoration and Management_Southern Interior BC_2008,2008,"Peer-reviewed literature

Case Study",BC Ministry of Forests,,Canada,"British Columbia

Southern Interior BC",,"Dry interior forests

Montane and subalpine forests

Wet interior forests","IDF
Interior douglas fir","Restoration

Harvest","Wildfire risk

Timber

Ecosystem health","Thinning

Pre-commercial thinning",,,,"Py
Ponderosa pine
Pinus ponderosa

Fd
Douglas fir
Pseudotsuga menziesii

Lw
Western larch
Larix occidentalis",,,,,,,,"Fire

Mountain pine beetle

Western pine beetle

Drought

Douglas fir tussock moth

Windthrow",,
Restoring Forest Resilience: From Reference Spatial Patterns to Silviculture Prescriptions and Monitoring,Restoring Forest Resilience_Western USA_2013,2013,"Peer-reviewed literature

Case Study",University of Washington,,USA,Washington,,"Dry interior forests

Montane and subalpine forests

Wet interior forests","IDF
Interior douglas fir","Waste/biomass/fuel management

Adaptive management

Restoration

Intervention","Climate change resilience

Ecosystem health

Wildfire risk","Restoration

Fuel management

Prescribed fire

Commercial thinning

Thinning

Planting

Variable retention

Retention system",,,,"Py
Ponderosa pine
Pinus ponderosa

Fd
Douglas fir
Pseudotsuga menziesii

Bg
Grand fir
Abies grandis",,,,,,,"Structure

Comeptition

Site productivity 

Natural disturbances","Fire

Mountain pine beetle

Bark beetle",,
The Effects of Forest Fuel Reduction Treatments in the United States,Effects of Forest Fuel Reduction Treatments_Western USA_2012,2012,Peer-reviewed literature,"University of California, Berkeley",,,,,"Montane and subalpine forests

Boreal forests",,"Waste/biomass/fuel management 

Harvest

Restoration","Wildfire risk

Ecosystem health

Carbon

Economic","Prescribed fire

Fuel management

Thinning

Commercial thinning",,,,"Py
Ponderosa pine
Pinus ponderosa",Northern bobwhite,,,,,,Natural disturbances,"Fire

Bark beetle",,
Implementing new forest management principles in coastal British Columbia: Case study 1,Implementing Forest Manageming Principles - Case Study 1_Coastal BC_2004,2004,Case study,Forest Engineering Research Institute of Canada (FERIC),,Canada,"British Columbia

Northeast Island BC","Vancouver Island 

Queen Charlotte Strait - Port McNeill",Coastal forests,"CWH
Coastal western hemlock","Harvest

Adaptive management",Economic,"Variable retention

Retention system

",,,CWH_xm,"Fd
Douglas fir
Pseudotsuga menziesii

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata

Pw
Western white pine
Pinus monticola

Dr
Red alder
Alnus rubra",,Riparian habitat,"Loading equipment

Cable equipment",,,"WHA
Wildlife habitat area",Natural disturbances,Fire,,
Implementing new forest management principles in coastal British Columbia: Case study 2,Implementing Forest Manageming Principles - Case Study 2_Coastal BC_2004,2004,Case study,Forest Engineering Research Institute of Canada (FERIC),,Canada,"British Columbia

North Island BC","Vancouver Island

Woss",Coastal forests,"CWH
Coastal western hemlock","Harvest

Restoration

Adaptive management","Old growth stand structure

Ecosystem heatlh

Timber

Economic","Restoration

Variable retention

Retention system",,,CWH_mm_1,"Fd
Douglas fir
Pseudotsuga menziesii

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata

Ba
Amabilis fir
Abies amabilis",,,"Loading equipment

",,Tree farm license (area based),"OGMA
Old growth management areas

WHA
Wildlife habitat area","Natural disturbances

Structure",Fire,,
Implementing new forest management principles in coastal British Columbia: Case study 3,Implementing Forest Manageming Principles - Case Study 3_Coastal BC_2004,2004,Case study,Forest Engineering Research Institute of Canada (FERIC),,Canada,"British Columbia

Northeast Island BC","Vancouver Island

Queen Charlotte Strait - Port McNeill",Coastal forests,"CWH
Coastal western hemlock","Harvest

Adaptive management","Ecosystem health

Economic

Timber

Old growth stand structure","Variable retention

Retention system

Monitoring",,,,"Hw
Western hemlock
Tsuga heterophylla

Ba
Amabilis fir
Abies amabilis

Ss
Sitka spruce
Picea sitchensis

Cw
Western redcedar 
Thuja plicata",,,"Loading equipment

Swing yarder

Cable equipment",,Tree farm license (area based),"OGMA
Old growth management areas

WHA
Wildlife habitat area","Site productivity

Natural distrubances","Fire

Windthrow

Flooding",,
