ID,Title,Organization,Tags,License,Group
30,Variable Retention Yield Adjustments in TIPSY,"","2007, Case Study,",Open Data Commons Attribution License,
31,Wildfires and Watershed Effects in the Southern BC Interior,Forest research Extension Partnership (FORREX),"2003, Case Study,, Canada, USA, British Columbia, Southern Interior BC, North Island BC, Oregon, Campbell River, Kootenays - Salmo, Coastal forests, Boreal forests, Sub-boreal forests, Dry interiior forests, Montane and subalpine forests, Wet interior forests, CWH, Coastal western hemlock, IDF, Interior douglas fir, Waste biomass fuel management, Restoration, Harvest, Wildfire risk, Hydrology, Ecosystem health, Prescribed fire, Thinning, Pruning, Planting,, Waste management, Fd, Douglas fir, Pseudotsuga menziesii, Act, Black cottonwood, Populus trichocarpa, Steelhead trout, Riparian habitat, Fire, Flood",Open Data Commons Attribution License,"Prescribed fire, Thinning"
32,Managing Forests and Fire in Changing Climates,"Univeristy of California, Berkeley","2013, Peer-reviewed literature,, Canada, British Columbia, All, IDF, Interior douglas fir, Waste biomass fuel management, Restoration, Climate change resilience, Wildfire risk, Fuel management, Restoration, Pl, Lodgepole pine, Pinus contorta, Fd, Douglas fir, Pseudotsuga menziesii, Fire",Open Data Commons Attribution License,Fuel management
33,Interaction of Fire Fuels and Climate Across Rocky Mountain Forests,University of Colorado Boulder,"2004, Case Study,, USA, Rocky Mountains, Montane and subalpine forests, ESSF, Engelmann spruce subalpine fir, Waste biomass fuel management, Restoration, Harvest, Climate change resilience, Wildfire risk, Forest health, Thinning, Restoration, Salvage, Fuel management, Variable retention, Waste management, Py, Ponderosa pine, Pinus ponderosa, Fd, Douglas fir, Pseudotsuga menziesii, Se, Engelmann spruce, Picea engelmannii, Bl, Subalpine fir, Abies lasiocarpa, Pl, Lodgepole pine, Pinus contorta, Structure, Natural disturbances, Fire, Drought",Open Data Commons Attribution License,"Variable retention, Thinning, Fuel management"
34,Dry Forests in the Southern Interior of British Columbia Historic Disturbances and Implications for Restoration and Management,BC Ministry of Forests,"2008, Peer-reviewed literature, Case Study,, Canada, British Columbia, Southern Interior BC, Dry interior forests, Montane and subalpine forests, Wet interior forests, IDF, Interior douglas fir, Restoration, Harvest, Wildfire risk, Timber, Ecosystem health, Thinning, Pre-commercial thinning, Py, Ponderosa pine, Pinus ponderosa, Fd, Douglas fir, Pseudotsuga menziesii, Lw, Western larch, Larix occidentalis, Fire, Mountain pine beetle, Western pine beetle, Drought, Douglas fir tussock moth, Windthrow",Open Data Commons Attribution License,Thinning
35,Restoring Forest Resilience From Reference Spatial Patterns to Silviculture Prescriptions and Monitoring,University of Washington,"2013, Peer-reviewed literature, Case Study,, USA, Washington, Dry interior forests, Montane and subalpine forests, Wet interior forests, IDF, Interior douglas fir, Waste biomass fuel management, Adaptive management, Restoration, Intervention, Climate change resilience, Ecosystem health, Wildfire risk, Restoration, Fuel management, Prescribed fire, Commercial thinning, Thinning, Planting, Variable retention, Retention system, Py, Ponderosa pine, Pinus ponderosa, Fd, Douglas fir, Pseudotsuga menziesii, Bg, Grand fir, Abies grandis, Structure, Comeptition, Site productivity, Natural disturbances, Fire, Mountain pine beetle, Bark beetle",Open Data Commons Attribution License,"Variable retention, Prescribed fire, Thinning, Fuel management"
36,The Effects of Forest Fuel Reduction Treatments in the United States,"University of California, Berkeley","2012, Peer-reviewed literature,, Montane and subalpine forests, Boreal forests, Waste biomass fuel management, Harvest, Restoration, Wildfire risk, Ecosystem health, Carbon, Economic, Prescribed fire, Fuel management, Thinning, Commercial thinning, Py, Ponderosa pine, Pinus ponderosa, Northern bobwhite, Natural disturbances, Fire, Bark beetle",Open Data Commons Attribution License,"Prescribed fire, Thinning, Fuel management"
37,Implementing new forest management principles in coastal British Columbia Case study 1,Forest Engineering Research Institute of Canada (FERIC),"2004, Case study,, Canada, British Columbia, Northeast Island BC, Vancouver Island, Queen Charlotte Strait - Port McNeill, Coastal forests, CWH, Coastal western hemlock, Harvest, Adaptive management, Economic, Variable retention, Retention system, CWHxm, Fd, Douglas fir, Pseudotsuga menziesii, Hw, Western hemlock, Tsuga heterophylla, Cw, Western redcedar, Thuja plicata, Pw, Western white pine, Pinus monticola, Dr, Red alder, Alnus rubra, Riparian habitat, Loading equipment, Cable equipment, WHA, Wildlife habitat area, Natural disturbances, Fire",Open Data Commons Attribution License,Variable retention
38,Implementing new forest management principles in coastal British Columbia Case study 2,Forest Engineering Research Institute of Canada (FERIC),"2004, Case study,, Canada, British Columbia, North Island BC, Vancouver Island, Woss, Coastal forests, CWH, Coastal western hemlock, Harvest, Restoration, Adaptive management, Old growth stand structure, Ecosystem heatlh, Timber, Economic, Restoration, Variable retention, Retention system, CWHmm1, Fd, Douglas fir, Pseudotsuga menziesii, Hw, Western hemlock, Tsuga heterophylla, Cw, Western redcedar, Thuja plicata, Ba, Amabilis fir, Abies amabilis, Loading equipment, Tree farm license, OGMA, Old growth management areas, WHA, Wildlife habitat area, Natural disturbances, Structure, Fire",Open Data Commons Attribution License,Variable retention
39,Implementing new forest management principles in coastal British Columbia Case study 3,Forest Engineering Research Institute of Canada (FERIC),"2004, Case study,, Canada, British Columbia, Northeast Island BC, Vancouver Island, Queen Charlotte Strait - Port McNeill, Coastal forests, CWH, Coastal western hemlock, Harvest, Adaptive management, Ecosystem health, Economic, Timber, Old growth stand structure, Variable retention, Retention system, Monitoring, Hw, Western hemlock, Tsuga heterophylla, Ba, Amabilis fir, Abies amabilis, Ss, Sitka spruce, Picea sitchensis, Cw, Western redcedar, Thuja plicata, Loading equipment, Swing yarder, Cable equipment, Tree farm license, OGMA, Old growth management areas, WHA, Wildlife habitat area, Site productivity, Natural distrubances, Fire, Windthrow, Flooding",Open Data Commons Attribution License,"Variable retention, Monitoring"
40,Implementing new forest management principles in coastal British Columbia Case study 4,Forest Engineering Research Institute of Canada (FERIC),"2004, Case study,, Canada, British Columbia, North Island BC, Vancouver Island, Woss, Coastal forests, CWH, Coastal western hemlock, Harvest, Adaptive management, Old growth stand structure, Economic, Ecosystem health, Variable retention, Retention system, Monitoring, CWHvm2, Fd, Douglas fir, Pseudotsuga menziesii, Hw, Western hemlock, Tsuga heterophylla, Cw, Western redcedar, Thuja plicata, Ba, Amabilis fir, Abies amabilis, Yc, Yellow cedar, Chamaecyparis nootkatensis, Hm, Mountain hemlock, Tsuga mertensiana, Loading equipment, Cable equipment, Swing yarder, Tree farm license, Site productivity",Open Data Commons Attribution License,"Variable retention, Monitoring"
